x1,y1,x2,y2,x3,y3
10,8.04,10,9.04,10,10.04
8,6.95,8,7.95,8,8.95
13,7.58,13,8.58,13,9.58
9,8.81,9,9.81,9,10.81
11,8.33,11,9.33,11,10.33
14,9.96,14,10.96,14,11.96
6,7.24,6,8.24,6,9.24
4,4.26,4,5.26,4,6.26
12,10.84,12,11.84,12,12.84
7,4.82,7,5.82,7,6.82
5,5.68,5,6.68,5,7.68
10,9.14,10,10.14,10,11.14
8,8.14,8,9.14,8,10.14
13,8.74,13,9.74,13,10.74
9,8.77,9,9.77,9,10.77
11,9.26,11,10.26,11,11.26
14,8.1,14,9.1,14,10.1
6,6.13,6,7.13,6,8.13
4,3.1,4,4.1,4,5.1
12,9.13,12,10.13,12,11.13
7,7.26,7,8.26,7,9.26
5,4.74,5,5.74,5,6.74
0,0,0,1,0,2
15,15,15,16,15,17
